Meme,Data,Mes,Confiança,Coragem,Bondade,Justiça,Humildade,Gratidão,Família
IMG-20200519-WA0040.jpg,2020-05-19,maio,0,0,0,0,0,1,0
IMG-20200519-WA0230.jpg,2020-05-19,maio,0,0,0,0,0,0,0
IMG-20200519-WA0244.jpg,2020-05-19,maio,0,0,0,0,0,0,0
IMG-20200520-WA0140.jpg,2020-05-20,maio,1,0,0,0,0,0,0
IMG-20200521-WA0065.jpg,2020-05-21,maio,1,1,0,0,0,0,0
IMG-20200521-WA0072.jpg,2020-05-21,maio,1,1,0,0,0,0,0
IMG-20200521-WA0105.jpg,2020-05-21,maio,0,0,0,0,0,0,0
IMG-20200521-WA0185.jpg,2020-05-21,maio,1,0,0,0,0,0,0
IMG-20200521-WA0284.jpg,2020-05-21,maio,0,0,0,0,0,0,1
IMG-20200522-WA0043.jpg,2020-05-22,maio,0,0,0,0,0,0,0
IMG-20200522-WA0045.jpg,2020-05-22,maio,0,0,1,1,0,0,0
IMG-20200522-WA0065.jpg,2020-05-22,maio,0,0,0,0,0,0,0
IMG-20200523-WA0108.jpg,2020-05-23,maio,0,0,0,0,0,0,0
IMG-20200524-WA0038.jpg,2020-05-24,maio,1,0,1,0,0,0,0
IMG-20200524-WA0041.jpg,2020-05-24,maio,0,0,0,0,0,0,0
IMG-20200527-WA0040.jpg,2020-05-27,maio,1,0,0,0,0,0,0
IMG-20200527-WA0046.jpg,2020-05-27,maio,1,0,0,0,0,0,0
IMG-20200527-WA0053.jpg,2020-05-27,maio,1,0,0,0,0,0,0
IMG-20200527-WA0062.jpg,2020-05-27,maio,1,0,0,0,0,0,0
IMG-20200527-WA0063.jpg,2020-05-27,maio,1,0,0,0,0,0,0
IMG-20200527-WA0066.jpg,2020-05-27,maio,0,0,0,0,0,0,0
IMG-20200527-WA0234.jpg,2020-05-27,maio,0,0,0,0,0,1,0
IMG-20200528-WA0046.jpg,2020-05-28,maio,0,0,0,0,0,0,0
IMG-20200529-WA0022.jpg,2020-05-29,maio,1,0,0,0,0,0,0
IMG-20200529-WA0209.jpg,2020-05-29,maio,1,0,0,0,0,1,0
IMG-20200530-WA0087.jpg,2020-05-30,maio,0,0,0,0,0,0,0
IMG-20200530-WA0088.jpg,2020-05-30,maio,0,0,1,0,0,0,0
IMG-20200601-WA0000.jpg,2020-06-01,junho,1,0,0,0,0,0,0
IMG-20200601-WA0030.jpg,2020-06-01,junho,1,0,0,0,0,0,0
IMG-20200601-WA0109.jpg,2020-06-01,junho,0,0,0,0,0,1,0
IMG-20200602-WA0229.jpg,2020-06-02,junho,1,0,0,0,0,0,0
IMG-20200604-WA0038.jpg,2020-06-04,junho,0,1,0,0,0,0,0
IMG-20200604-WA0197.jpg,2020-06-04,junho,1,0,0,0,0,0,1
IMG-20200604-WA0198.jpg,2020-06-04,junho,0,0,0,0,0,0,0
IMG-20200605-WA0036.jpg,2020-06-05,junho,1,0,0,0,0,0,0
IMG-20200605-WA0039.jpg,2020-06-05,junho,0,0,0,0,0,0,0
IMG-20200605-WA0040.jpg,2020-06-05,junho,1,0,1,0,0,0,0
