Meme,Confiança/Entrega/Proteção,Coragem,Bondade/Caridade,Justiça/Honestidade,Humildade,Gratidão,Família,Religião,Nacionalismo,Meritocracia,Corrupção,Líder pol,Negro,Mulher,Obs
IMG-20200420-WA0060.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Paisagem bucólica
IMG-20200422-WA0058.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Pássaros
IMG-20200422-WA0066.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Cristo Redentor de verde amarelo
IMG-20200422-WA0088.jpg,1,1,0,0,0,0,0,1,0,1,0,0,0,0,Corações/Borboletas
IMG-20200422-WA0107.jpg,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Motivos florais
IMG-20200423-WA0040.jpg,1,1,0,0,0,0,0,1,0,1,0,0,0,0,Motivos florais
IMG-20200423-WA0059.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais/café
IMG-20200423-WA0073.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Motivos florais/Borboletas
IMG-20200424-WA0059.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Ovelha
IMG-20200424-WA0093.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Bíblia
IMG-20200426-WA0109.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Viblia/Flores
IMG-20200426-WA0119.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Lago e por do sol
IMG-20200426-WA1057.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Pomba (ES)
IMG-20200427-WA0198.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivosflorais/gato
IMG-20200428-WA0053.jpg,1,0,0,0,0,0,0,1,0,0,0,0,1,1,Proteção
IMG-20200429-WA0149.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/coração/café/pavão
IMG-20200430-WA0082.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200430-WA0085.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Café
IMG-20200503-WA0122.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pásaros: ame a vida e os amigos
IMG-20200504-WA0051.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Paisagem
IMG-20200505-WA0288.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Mãos/globo
IMG-20200506-WA0024.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Montanha 
IMG-20200506-WA0387.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais/Coração/Jesus/
IMG-20200507-WA0025.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais 
IMG-20200507-WA0350.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Montanha/Pássaros
IMG-20200510-WA0106.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Letras
IMG-20200511-WA0033.jpg,1,1,0,0,0,0,0,1,0,1,0,0,0,0,Chuva e criança
IMG-20200511-WA0252.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Desenho criança, urso, coelho, estrelas"
IMG-20200511-WA0316.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200512-WA0379.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Crianças abraçando/corações/flores/borboletas
IMG-20200512-WA0884.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Paisagem (montanhas e agua)
IMG-20200513-WA0045.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Motivos Florais/Esquilo/Pássaro
IMG-20200513-WA0296.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Sol 
IMG-20200514-WA0021.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Mão em prece
IMG-20200514-WA0079.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Criança (menina) - tem um quê de solidão... já lhe deram bom dia hoje
IMG-20200515-WA0034.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Criança (menina) / gato
IMG-20200517-WA0020.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Borboletas no céu
IMG-20200518-WA0027.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Letras
IMG-20200519-WA0040.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos Florais
IMG-20200519-WA0230.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais
IMG-20200519-WA0244.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais 
IMG-20200520-WA0140.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Motivos florais
IMG-20200521-WA0065.jpg,1,1,0,0,0,0,0,1,0,1,0,0,0,0,Pessoa em montanha
